time,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,divergence,geopotential,mean_sea_level_pressure,relative_humidity,specific_humidity,temperature,total_cloud_cover,total_column_water_vapour,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,total_precipitation
01-01-1960,-5.273945,-1.6300013,284.47314,6.7461013e-07,79837.78,101558.33,0.39380726,0.0022487326,246.7003,0.9278467,25.95877,19.734486,6.541474,-0.06794685,24.286242,18.164043
01-02-1960,-3.699429,0.13969582,286.79053,-1.6882709e-06,80214.805,101497.78,0.39763558,0.0023935651,247.72574,0.953978,24.971188,21.852226,4.564419,-0.020837832,24.671007,0.54300505
01-03-1960,1.7054378,-3.2264879,286.2962,9.848103e-07,80392.766,101752.7,0.44198972,0.0022752201,247.19296,0.70831674,26.079035,26.410805,6.4898324,0.018936673,28.650595,15.890145
01-04-1960,-1.4067764,-3.1847067,281.74396,1.3273952e-06,80548.125,102363.53,0.34674802,0.0012905882,246.25536,0.7520434,16.97757,21.157253,7.056201,-0.0034461527,23.58037,3.539026e-05
01-05-1960,-3.5807557,-1.2096316,284.7674,6.520804e-07,80563.55,102142.63,0.40136364,0.0022020105,246.91283,0.8781669,27.715376,19.869293,10.268327,-0.044295438,24.12534,0.47491547
01-06-1960,-0.3300889,-1.6104535,286.60007,1.2646454e-08,80433.266,101671.75,0.54867446,0.0032054014,247.61258,0.92113554,38.055904,21.72475,14.30717,-0.09023957,27.251444,15.826546
01-07-1960,1.8241023,-3.5853004,281.45502,3.5131617e-07,80195.984,101973.28,0.3941395,0.0017095718,246.28793,0.96212304,20.445242,25.424534,14.009466,0.017575277,30.299076,6.339878
01-08-1960,-0.6992725,-1.6925738,281.15988,-3.326168e-06,80324.25,102365.14,0.23734929,0.00063071185,245.76385,0.68077517,6.452702,25.829151,6.0884247,0.013298353,27.612156,0.0
01-09-1960,-2.6276028,-0.23077965,283.8367,8.92124e-07,80713.95,102557.48,0.3201179,0.0009295205,246.36603,0.9416239,9.87756,18.408825,3.473562,0.001253412,20.037306,0.0
01-10-1960,-1.8979051,-0.046583623,287.68768,-1.2825127e-07,80776.05,102449.71,0.48560843,0.002361528,246.76913,0.79824495,29.228895,18.567635,5.3697357,-0.024895249,20.285738,0.27600795
01-11-1960,-1.1943027,1.4475965,289.6499,-1.3966087e-06,80789.7,102209.86,0.36401224,0.0025909073,247.40285,0.44450516,31.104597,14.544983,2.1570604,0.03211402,15.577999,0.0069924886
01-12-1960,-2.1473784,3.1087782,291.24817,-5.186303e-07,80821.86,101992.49,0.34651464,0.002631392,247.77689,0.5049078,27.990314,11.561924,4.7367024,0.0071397205,14.400559,0.08973427
01-13-1960,-0.38310716,3.2641137,291.95074,1.9037193e-08,80793.5,101831.35,0.3884996,0.0026471766,248.12088,0.64617944,29.074413,17.300991,6.2680044,-0.003923483,19.199162,0.44228208
01-14-1960,-0.11069265,4.102663,292.04367,2.8212194e-06,80601.305,101506.51,0.4060128,0.0026795869,248.29294,0.73501223,28.315094,18.685383,10.278377,-0.04169698,22.255363,0.1463094
01-15-1960,3.6350904,1.2437118,290.3794,2.0524284e-07,80105.65,101210.0,0.31206623,0.002191084,247.92784,0.67792946,23.671068,28.93925,8.060801,-0.06415864,30.872328,10.218353
01-16-1960,-0.20920128,-2.7465274,284.6561,3.728931e-07,80013.375,101608.695,0.2684256,0.00110403,246.84052,0.66172373,12.106462,26.592485,4.1077814,0.026623469,28.055714,9.313228e-06
01-17-1960,-2.6626573,3.0926137,287.73016,4.1979953e-07,79959.64,101139.78,0.53431344,0.003062569,247.56984,0.9616867,35.621532,27.160673,16.536858,-0.13634072,33.748325,10.502356
01-18-1960,4.513451,-1.1761988,285.58447,5.443593e-06,79528.13,101425.39,0.3123883,0.0013720264,246.25139,0.6007242,14.856328,32.76866,19.455887,0.0017127263,39.498703,8.303326
01-19-1960,3.071106,-4.9091144,277.761,-1.39176475e-08,79624.96,102509.555,0.22828636,0.0005355492,243.80214,0.29220116,5.374482,34.76308,3.9523318,0.07023503,36.74909,0.0
01-20-1960,1.4892006,-4.124503,277.4041,1.4609145e-06,79594.46,102792.52,0.32506946,0.0007699069,242.85187,0.70661914,8.627306,36.256775,5.6018147,0.043381155,38.033325,2.6077036e-05
01-21-1960,1.2869103,-3.8719249,277.48907,-2.4777155e-08,79353.49,103138.42,0.14789096,0.00039472443,242.10849,0.10591077,4.3670425,34.380234,-4.047302,0.13967317,36.79909,9.313228e-06
01-22-1960,1.7810304,-2.6832342,278.79205,-4.829256e-08,79482.46,103135.48,0.20321943,0.00051768083,242.41388,0.026372274,6.0508256,28.565624,-6.1488323,0.07444115,30.098122,0.0
01-23-1960,-1.966373,-3.3929577,277.28436,9.567618e-07,79129.43,103048.68,0.2773747,0.00077248295,241.73819,0.089660555,9.199345,25.436277,-8.592004,0.029695831,27.83533,0.0
01-24-1960,-1.8029573,-2.083788,277.964,1.97496e-06,79041.336,102848.58,0.40588492,0.0012164656,241.96118,0.95463586,15.715019,28.480282,-7.1997323,0.021319618,30.18822,1.8330485
01-25-1960,-3.4769084,-1.8392769,280.48242,5.689347e-07,79029.055,102530.28,0.38344118,0.0013958502,242.75352,0.84036255,15.179132,22.966228,-5.6262364,0.0008541443,25.051714,1.0829846
01-26-1960,-3.5970018,-0.13713324,285.52374,-3.386316e-07,79588.055,102308.33,0.35771805,0.0017984132,244.62865,0.7421376,19.526459,20.509178,-3.8172174,0.03768478,23.59433,0.09522961
01-27-1960,1.679642,3.248496,289.70633,-1.7197309e-06,79783.984,101921.31,0.38441813,0.0026001816,246.16422,0.61708033,28.805504,26.666536,-2.5816867,-0.0024501681,28.663633,14.010488
01-28-1960,2.062836,1.5194274,287.76874,6.9351455e-07,80024.93,101869.61,0.3393942,0.0018841624,246.70407,0.7644197,17.982912,25.588657,-2.9381864,0.019414546,26.51749,0.70534754
01-29-1960,3.1093044,-1.5048802,286.87457,7.101048e-06,79175.8,101510.87,0.36205137,0.001991983,245.59769,0.8986998,20.555302,29.241232,2.3678565,-0.12028725,30.835161,12.522045
01-30-1960,5.286044,-7.058012,280.36914,1.1591776e-07,78442.09,101641.51,0.35045066,0.0013391183,243.70839,0.81251574,15.910995,8.639128,-18.209293,0.11360245,23.6134,2.7460923
01-31-1960,1.1198163,-4.183118,281.2434,-3.3449833e-06,79423.74,101719.16,0.27846384,0.0013559748,245.17552,0.27826512,14.608385,10.65749,-15.223354,0.15552825,21.019623,0.0015384732
02-01-1960,-0.78721464,-1.2715108,282.9909,9.398318e-07,79737.95,101856.625,0.4026944,0.0014254034,245.34822,0.9876418,14.565676,14.071328,1.9270126,0.04599674,15.974595,0.026629608
02-02-1960,-0.09480871,-0.65600425,283.51935,1.8212802e-06,79674.266,101924.48,0.3999676,0.0014695259,245.37875,0.849409,16.33426,17.29712,9.466127,0.017974142,20.590878,0.051853016
02-03-1960,-4.4253473,1.6286627,286.64853,3.3964652e-06,79193.74,101189.086,0.38054022,0.0019562875,246.61325,0.8194215,19.639158,14.81842,13.485086,-0.12355281,23.114157,0.4089507
02-04-1960,-1.7105911,3.8185458,287.31802,9.012727e-06,78977.164,100562.97,0.32574323,0.0020551095,247.72005,0.7113554,20.52295,20.161648,22.701477,-0.32210678,32.503582,31.448885
02-05-1960,4.700246,0.6639594,286.2107,3.380654e-06,78909.88,100888.06,0.23055306,0.0013527543,246.809,0.30695647,13.568434,26.590864,16.729452,-0.003229208,32.24267,0.8508089
