time,divergence,geopotential,relative_humidity,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,total_precipitation
01-01-1980,-1.5761951e-06,78775.62,0.22354558,0.0008811047,243.75319,23.714893,-5.7077403,0.15371093,0.0027770558
01-02-1980,-4.1365814e-07,79107.664,0.25856563,0.00081882335,244.05704,22.059252,-3.4045339,0.083595,0.0
01-03-1980,7.887819e-07,79116.07,0.3336113,0.0015745639,245.00757,24.641598,8.791998,-0.04253795,0.12476783
01-04-1980,8.707908e-07,78621.375,0.3402425,0.0014385928,243.96063,21.274405,6.7781057,0.043263614,5.444705
01-05-1980,-5.6405014e-07,78949.266,0.25707036,0.0008404786,242.96509,23.682487,-6.5292325,0.141704,0.0
01-06-1980,-1.0194527e-06,79440.23,0.28739282,0.0009899989,243.8111,17.130892,-5.232213,0.050508816,0.025423955
01-07-1980,-8.8578014e-07,79696.89,0.3773523,0.0019717726,246.23305,21.15222,3.8794444,-0.044749998,0.53991073
01-08-1980,-2.5719538e-07,79823.12,0.47854856,0.0025665297,246.64055,26.293535,8.948884,-0.045784894,1.0780393
01-09-1980,-6.472121e-07,79892.625,0.35207164,0.002519652,246.19168,24.1777,4.9999285,-0.020296248,8.655666
01-10-1980,3.751343e-07,80310.45,0.37454537,0.00234109,246.76003,22.993992,4.1967964,0.0019474872,1.0142908
01-11-1980,2.5797892e-06,79991.234,0.51388097,0.003239176,247.29582,20.169224,10.828756,-0.3715432,52.253166
01-12-1980,-3.5214844e-06,80098.03,0.40313753,0.0019382281,246.4016,17.19588,2.3590074,-0.010422578,0.19187821
01-13-1980,7.88471e-08,79869.66,0.40947002,0.0020453488,246.22684,13.023315,3.2562752,-0.051858976,2.5324183
01-14-1980,-3.343805e-06,79902.17,0.32253397,0.0021721907,247.0471,15.293825,-6.8838186,0.051871154,1.9749135
01-15-1980,-2.2479722e-07,80290.75,0.32840168,0.0017178386,246.90121,9.641929,-5.713275,0.010236325,0.098943554
01-16-1980,6.098748e-07,80359.36,0.42442825,0.0028176473,247.58583,10.729654,5.041526,-0.07756455,3.821997
01-17-1980,2.2526474e-06,80133.1,0.5024615,0.0033186737,247.78903,12.4351845,10.7210455,-0.043917738,18.636662
01-18-1980,2.0081102e-06,80093.78,0.31854618,0.0023533101,247.4444,17.11733,9.284061,0.043831304,1.7535504
01-19-1980,9.638e-07,80478.72,0.20470041,0.0013330671,247.2452,15.861349,5.282044,0.023387939,0.0030497548
01-20-1980,6.024476e-07,80577.984,0.2724125,0.0016156678,247.16911,17.248888,4.078239,0.016609965,7.748705e-06
01-21-1980,4.883863e-07,80359.64,0.41090184,0.0022182276,247.01698,18.596264,2.7804117,0.012239018,0.00031121093
01-22-1980,-5.6806897e-07,79947.85,0.5221172,0.0031406342,247.80322,22.506096,6.6220427,-0.04593509,1.7196015
01-23-1980,2.7921812e-06,79327.34,0.3898547,0.00188126,246.09496,33.865875,9.45369,-0.07047102,11.552591
01-24-1980,-1.5526208e-06,79549.586,0.22908211,0.0006518106,245.04184,29.604269,1.0134047,0.09327834,0.0
